StartDate,EndDate,Status,Progress,Finished,ResponseId,treatment,age,gender,score_t1,score_t2,score_t3
"Start Date","End Date","Response Type","Progress","Finished","Response ID","Treatment Group","Age","Gender","Score Time 1","Score Time 2","Score Time 3"
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""finished""}","{""ImportId"":""responseId""}","{""ImportId"":""treatment""}","{""ImportId"":""age""}","{""ImportId"":""gender""}","{""ImportId"":""score_t1""}","{""ImportId"":""score_t2""}","{""ImportId"":""score_t3""}"
2024-02-01 09:00:00,2024-02-01 09:12:00,IP Address,100,TRUE,R_m1,control,22,Female,45,47,46
2024-02-01 09:30:00,2024-02-01 09:42:00,IP Address,100,TRUE,R_m2,control,25,Male,48,50,49
2024-02-01 10:00:00,2024-02-01 10:12:00,IP Address,100,TRUE,R_m3,control,21,Female,42,44,43
2024-02-01 10:30:00,2024-02-01 10:42:00,IP Address,100,TRUE,R_m4,control,28,Male,50,51,49
2024-02-01 11:00:00,2024-02-01 11:12:00,IP Address,100,TRUE,R_m5,intervention,24,Female,46,55,62
2024-02-01 11:30:00,2024-02-01 11:42:00,IP Address,100,TRUE,R_m6,intervention,26,Male,49,58,68
2024-02-01 12:00:00,2024-02-01 12:12:00,IP Address,100,TRUE,R_m7,intervention,23,Female,44,52,60
2024-02-01 12:30:00,2024-02-01 12:42:00,IP Address,100,TRUE,R_m8,intervention,27,Male,51,60,70
